Brands,Models,Version,Currency,Price,Urlpic,Year,KM,Fuel_type,Transmission,Location,Color,Cilinder,Upholstery,Engine
LEXUS,NX300H LUXURY,4WD,USD,"US$ 36,000",https://cde.neoauto.pe/autos_usados/360x240/557609/557609_6907225.webp,2019,49294,Gasolina-Híbrido,Automática,"Lima, Lima",Gris Oscuro,4,tela,"2,500 cc"
LAND ROVER,DISCOVERY,,USD,"US$ 39,490",https://cde.neoauto.pe/autos_usados/360x240/557609/557609_1867101.webp,2017,40860,Gasolina,Automática,"Lima, Lima",Marrón,6,tela,"4,000 cc"
VOLKSWAGEN,T-CROSS,,USD,"US$ 18,900",https://cde.neoauto.pe/autos_usados/360x240/114188/114188_6025794.webp,2020,44954,Gasolina,Automática - Secuencial,"Lima, Lima",Azul,,tela,
MASERATI,LEVANTE S GRANSPORT,AWD,USD,"US$ 82,000",https://cde.neoauto.pe/autos_usados/360x240/463366/463366_9994562.webp,2020,13000,Gasolina,Automática - Secuencial,"Lima, Lima",Azul,6,tela,"3,000 cc"
BMW,M440I,4x4,USD,"US$ 64,900",https://cde.neoauto.pe/autos_usados/360x240/114188/114188_9328387.webp,2022,10700,Gasolina,Automática - Secuencial,"Lima, Lima",Plomo,6,tela,"3,000 cc"
MERCEDES BENZ,C63-AMG,Posterior,USD,"US$ 31,900",https://cde.neoauto.pe/autos_usados/360x240/463366/463366_6623360.webp,2013,72000,Gasolina,Automática - Secuencial,"Lima, Lima",Plateado,,tela,"6,300 cc"
MASERATI,LEVANTE TROFEO,AWD,USD,Consultar,https://cde.neoauto.pe/autos_usados/360x240/463366/463366_1567566.webp,2019,10000,Gasolina,Automática - Secuencial,"Lima, Lima",Champagne,8,tela,"3,800 cc"
VOLKSWAGEN,TIGUAN,4x4,USD,"US$ 21,900",https://cde.neoauto.pe/autos_usados/360x240/114188/114188_1391182.webp,2018,82000,Gasolina,Automática,"Lima, Lima",Blanco,4,tela,"2,000 cc"
SSANGYONG,ALL NEW REXTON,,USD,"US$ 33,490",https://cde.neoauto.pe/autos_usados/360x240/114188/114188_3871454.webp,2023,500,Gasolina,Automática - Secuencial,"Lima, Lima",Azul,,Asientos de cuero,
VOLKSWAGEN,JETTA,,USD,"US$ 13,900",https://cde.neoauto.pe/autos_usados/360x240/114188/114188_8652743.webp,2017,35223,Gasolina,Mecánica,"Lima, Lima",Gris platino,,tela,
MERCEDES BENZ,GLC 200 COUPE,4 Matic,USD,"US$ 48,990",https://cde.neoauto.pe/autos_usados/360x240/557609/557609_9619182.webp,2020,66279,Gasolina,Automática,"Lima, Lima",Rojo,4,tela,"2,000 cc"
MERCEDES BENZ,GLE 450 4 MATIC,4 Matic,USD,"US$ 80,990",https://cde.neoauto.pe/autos_usados/360x240/557609/557609_1401165.webp,2022,16280,Gasolina,Automática,"Lima, Lima",Gris huracan,6,tela,"3,000 cc"
MERCEDES BENZ,E-500,Posterior,USD,"US$ 30,000",https://cde.neoauto.pe/autos_usados/360x240/463366/463366_4457477.webp,2012,19000,Gasolina,Automática - Secuencial,"Lima, Lima",Negro,8,tela,"4,700 cc"
CHEVROLET,CORVETTE,Posterior,USD,"US$ 35,000",https://cde.neoauto.pe/autos_usados/360x240/463366/463366_2367034.webp,1998,35000,Gasolina,Automática - Secuencial,"Lima, Lima",Beige,8,Asientos de cuero,"5,700 cc"
HAVAL,H6,4x2,USD,"US$ 18,900",https://cde.neoauto.pe/autos_usados/360x240/114188/114188_7574893.webp,2020,30000,Gasolina,Automática - Secuencial,"Lima, Lima",Blanco,5,tela,"2,000 cc"
VOLKSWAGEN,NIVUS,,USD,"US$ 20,900",https://cde.neoauto.pe/autos_usados/360x240/114188/114188_2265183.webp,2023,4000,Gasolina,Automática,"Lima, Lima",Azul,,tela,
FORD,EXPEDITION,,USD,"US$ 49,900",https://cde.neoauto.pe/autos_usados/360x240/114188/114188_7044519.webp,2021,30000,Gasolina,Automática - Secuencial,"Lima, Lima",Negro,,tela,
BMW,X3 20i,,USD,"US$ 34,900",https://cde.neoauto.pe/autos_usados/360x240/114188/114188_8710924.webp,2019,44571,Gasolina,Automática,"Lima, Lima",Plata,,tela,
BMW,X5 35i,,USD,"US$ 27,900",https://cde.neoauto.pe/autos_usados/360x240/114188/114188_1050593.webp,2015,81000,Gasolina,Automática - Secuencial,"Lima, Lima",Gris Oscuro,,Asientos de cuero,
HONDA,WR-V,,USD,"US$ 16,900",https://cde.neoauto.pe/autos_usados/360x240/114188/114188_5004001.webp,2023,6394,Gasolina,Mecánica,"Lima, Lima",Azul,,tela,
VOLKSWAGEN,GOL,,USD,"US$ 12,900",https://cde.neoauto.pe/autos_usados/360x240/114188/114188_3261419.webp,2021,23188,Gasolina,Mecánica,"Lima, Lima",Gris Oscuro,,tela,
MERCEDES BENZ,AMG GLC 43 4MATIC,,USD,"US$ 65,900",https://cde.neoauto.pe/autos_usados/360x240/114188/114188_1533990.webp,2020,40469,Gasolina,Automática - Secuencial,"Lima, Lima",Negro,,tela,
VOLVO,XC-40,,USD,"US$ 38,900",https://cde.neoauto.pe/autos_usados/360x240/114188/114188_5751989.webp,2022,10817,Gasolina,Automática,"Lima, Lima",Rojo,,tela,
MERCEDES BENZ,C-200,,USD,"US$ 41,900",https://cde.neoauto.pe/autos_usados/360x240/114188/114188_6681764.webp,2022,14000,Híbrido,Automática,"Lima, Lima",Negro,,tela,
HYUNDAI,SANTA FE,,USD,"US$ 19,900",https://cde.neoauto.pe/autos_usados/360x240/114188/114188_7828637.webp,2017,46764,Gasolina,Automática - Secuencial,"Lima, Lima",Plata,,tela,
MASERATI,LEVANTE,AWD,USD,"US$ 59,900",https://cde.neoauto.pe/autos_usados/360x240/463366/463366_7888298.webp,2018,30000,Gasolina,Automática - Secuencial,"Lima, Lima",Blanco,6,tela,"3,000 cc"
MASERATI,LEVANTE S GRANSPORT,AWD,USD,"US$ 85,000",https://cde.neoauto.pe/autos_usados/360x240/463366/463366_8205462.webp,2020,18000,Gasolina,Automática - Secuencial,"Lima, Lima",Negro,6,tela,"3,000 cc"
BMW,X5 40i,AWD,USD,"US$ 59,900",https://cde.neoauto.pe/autos_usados/360x240/463366/463366_2094658.webp,2019,47000,Gasolina,Automática - Secuencial,"Lima, Lima",Negro,6,Asientos de cuero,300 cc
TOYOTA,YARIS,GLI 1.3 AT,USD,"US$ 9,900",https://cde.neoauto.pe/autos_usados/360x240/114188/114188_1942956.webp,2014,95000,Gasolina,Automática,"Lima, Lima",Azul acero,4,tela,"1,400 cc"
HONDA,CR-V,,USD,"US$ 29,900",https://cde.neoauto.pe/autos_usados/360x240/114188/114188_4905211.webp,2020,29500,Gasolina,Automática,"Lima, Lima",Blanco,,tela,
LAND ROVER,DISCOVERY,AWD,USD,Consultar,https://cde.neoauto.pe/autos_usados/360x240/463366/463366_2760676.webp,2018,46000,Gasolina,Automática - Secuencial,"Lima, Lima",Negro,6,tela,"3,000 cc"
BMW,X1 18i,4x2,USD,"US$ 23,900",https://cde.neoauto.pe/autos_usados/360x240/114188/114188_7201214.webp,2018,46000,Gasolina,Automática - Secuencial,"Lima, Lima",Negro,3,Asientos de cuero,"1,500 cc"
VOLKSWAGEN,AMAROK,4x4,USD,"US$ 39,900",https://cde.neoauto.pe/autos_usados/360x240/114188/114188_4903963.webp,2022,9786,Diesel,Automática,"Lima, Lima",Beige,6,tela,"3,000 cc"
BMW,X5 35i,,USD,"US$ 15,900",https://cde.neoauto.pe/autos_usados/360x240/114188/114188_5244725.webp,2012,96974,Gasolina,Automática,"Lima, Lima",Gris Oscuro,,tela,
HONDA,ACCORD,,USD,"US$ 16,900",https://cde.neoauto.pe/autos_usados/360x240/114188/114188_2213807.webp,2015,39307,Gasolina,Automática,"Lima, Lima",Rojo,,tela,
KIA,SPORTAGE,,USD,"US$ 18,900",https://cde.neoauto.pe/autos_usados/360x240/114188/114188_3566381.webp,2019,70690,Gasolina,Automática,"Lima, Lima",Gris Oscuro,,tela,
BMW,420i,4x2,USD,"US$ 23,900",https://cde.neoauto.pe/autos_usados/360x240/114188/114188_4114078.webp,2016,26000,Gasolina,Automática - Secuencial,"Lima, Lima",Plata,4,Asientos de cuero,"2,000 cc"
JEEP,GRAND CHEROKEE LAREDO,,USD,"US$ 25,900",https://cde.neoauto.pe/autos_usados/360x240/114188/114188_5376324.webp,2017,78000,Gasolina,Automática - Secuencial,"Lima, Lima",Gris Metálico,,Asientos de cuero,
VOLKSWAGEN,AMAROK,4x4,USD,"US$ 16,900",https://cde.neoauto.pe/autos_usados/360x240/114188/114188_3539670.webp,2015,92000,Diesel,Mecánica,"Lima, Lima",Plata,4,tela,"2,000 cc"
VOLVO,S60,,USD,"US$ 17,900",https://cde.neoauto.pe/autos_usados/360x240/114188/114188_8093459.webp,2018,65209,Gasolina,Automática,"Lima, Lima",Azul,,tela,
NISSAN,SENTRA,,USD,"US$ 14,900",https://cde.neoauto.pe/autos_usados/360x240/114188/114188_2696897.webp,2017,66618,Gasolina,Automática - Secuencial,"Lima, Lima",Azul,,tela,
VOLKSWAGEN,GOL,,USD,"US$ 11,900",https://cde.neoauto.pe/autos_usados/360x240/114188/114188_2633814.webp,2022,2604,Gasolina,Mecánica,"Lima, Lima",Gris Metálico,,tela,
MERCEDES BENZ,GLA 180,Delantera,USD,"US$ 25,750",https://cde.neoauto.pe/autos_usados/360x240/463366/463366_7719619.webp,2019,24000,Gasolina,Automática - Secuencial,"Lima, Lima",Rojo,4,Asientos de cuero,"1,600 cc"
BMW,X3 20i,Posterior,USD,"US$ 25,900",https://cde.neoauto.pe/autos_usados/360x240/463366/463366_7010638.webp,2017,62000,Gasolina,Automática - Secuencial,"Lima, Lima",Champagne,,tela,"2,000 cc"
LAND ROVER,RANGE ROVER SPORT,AWD,USD,"US$ 47,000",https://cde.neoauto.pe/autos_usados/360x240/463366/463366_1454775.webp,2017,59000,Gasolina,Automática - Secuencial,"Lima, Lima",Blanco,6,tela,"3,000 cc"
MERCEDES BENZ,C-200,Posterior,USD,"US$ 23,900",https://cde.neoauto.pe/autos_usados/360x240/463366/463366_3461834.webp,2018,52000,Gasolina,Automática - Secuencial,"Lima, Lima",Azul,4,Asientos de cuero,"1,998 cc"
MITSUBISHI,ASX,4x2,USD,"US$ 14,900",https://cde.neoauto.pe/autos_usados/360x240/114188/114188_3957500.webp,2017,65000,Gasolina,Automática,"Lima, Lima",Blanco,4,tela,"2,000 cc"
MITSUBISHI,ASX,4X2 GLS CVT,USD,"US$ 15,900",https://cde.neoauto.pe/autos_usados/360x240/114188/114188_8264865.webp,2018,56700,Gasolina,Automática,"Lima, Lima",Blanco,4,tela,"2,000 cc"
JEEP,GRAND CHEROKEE LAREDO,,USD,"US$ 29,900",https://cde.neoauto.pe/autos_usados/360x240/114188/114188_3024276.webp,2019,48433,Gasolina,Automática - Secuencial,"Lima, Lima",Gris Oscuro,,Asientos de cuero,
SSANGYONG,MUSSO GRAND,,USD,"US$ 24,990",https://cde.neoauto.pe/autos_usados/360x240/114188/114188_2508095.webp,2024,1000,Gasolina,Mecánica,"Lima, Lima",Blanco,,tela,
MERCEDES BENZ,CLA 180 COUPE,,USD,"US$ 21,900",https://cde.neoauto.pe/autos_usados/360x240/114188/114188_2705744.webp,2018,46400,Gasolina,Automática - Secuencial,"Lima, Lima",Gris Metálico,,tela,
VOLKSWAGEN,GOL,4x2,USD,"US$ 12,900",https://cde.neoauto.pe/autos_usados/360x240/114188/114188_4006044.webp,2020,51000,Gasolina,Mecánica,"Lima, Lima",Plata,4,tela,"1,600 cc"
JEEP,COMPASS,,USD,"US$ 20,900",https://cde.neoauto.pe/autos_usados/360x240/114188/114188_3436920.webp,2019,68300,Gasolina,Automática,"Lima, Lima",Azul,,tela,
JETOUR,X90 PLUS,,USD,"US$ 29,900",https://cde.neoauto.pe/autos_usados/360x240/114188/114188_4275989.webp,2024,6278,Gasolina,Automática - Secuencial,"Lima, Lima",Negro,,tela,
VOLKSWAGEN,TIGUAN ALLSPACE,,USD,"US$ 21,900",https://cde.neoauto.pe/autos_usados/360x240/114188/114188_3176096.webp,2018,68100,Gasolina,Automática,"Lima, Lima",Blanco,,tela,
MERCEDES BENZ,CLA 200,Delantera,USD,"US$ 29,900",https://cde.neoauto.pe/autos_usados/360x240/463366/463366_8821622.webp,2020,39000,Gasolina,Automática - Secuencial,"Lima, Lima",Negro,4,tela,"1,500 cc"
CITROEN,C-3,,USD,"US$ 11,900",https://cde.neoauto.pe/autos_usados/360x240/114188/114188_6903499.webp,2018,42500,Gasolina,Automática,"Lima, Lima",Negro,,tela,
MERCEDES BENZ,SL-280,Posterior,USD,Consultar,https://cde.neoauto.pe/autos_usados/360x240/463366/463366_9915972.webp,1985,100000,Gasolina,Mecánica,"Lima, Lima",Negro,6,Asientos de cuero,"2,800 cc"
VOLKSWAGEN,CROSSFOX,,USD,"US$ 12,900",https://cde.neoauto.pe/autos_usados/360x240/114188/114188_1746731.webp,2022,48176,Gasolina,Mecánica,"Lima, Lima",Gris Metálico,,tela,
FORD,EXPEDITION,4x4,USD,"US$ 33,900",https://cde.neoauto.pe/autos_usados/360x240/114188/114188_2656025.webp,2017,34000,Gasolina,Automática,"Lima, Lima",Blanco,6,tela,"3,500 cc"
NISSAN,SENTRA,4x2,USD,"US$ 17,900",https://cde.neoauto.pe/autos_usados/360x240/114188/114188_8593532.webp,2022,31000,Gasolina,Automática,"Lima, Lima",Plata,5,tela,"2,000 cc"
KIA,CERATO,,USD,"US$ 16,900",https://cde.neoauto.pe/autos_usados/360x240/114188/114188_8832266.webp,2020,58587,Dual,Automática - Secuencial,"Lima, Lima",Gris Metálico,,tela,
SUZUKI,VITARA,4x2,USD,"US$ 16,000",https://cde.neoauto.pe/autos_usados/360x240/734432/734432_2767000.webp,2020,23510,Gasolina,Automática,"Lima, Lima",Azul acero,4,tela,"1,600 cc"
SUZUKI,VITARA,4x2,USD,"US$ 17,500",https://cde.neoauto.pe/autos_usados/360x240/734432/734432_1560200.webp,2022,34970,Gasolina,Mecánica,"Lima, Lima",Gris Metálico,4,tela,"1,600 cc"
SUBARU,FORESTER,4x4,USD,"US$ 31,500",https://cde.neoauto.pe/autos_usados/360x240/734431/734431_5683487.webp,2023,7817,Gasolina,Automática,"Lima, Lima",Blanco,4,tela,"2,000 cc"
VOLKSWAGEN,TIGUAN ALLSPACE,4x2,USD,"US$ 22,500",https://cde.neoauto.pe/autos_usados/360x240/483655/483655_3112858.webp,2021,45000,Gasolina,Automática - Secuencial,"Lima, Lima",Gris platino,4,Asientos de cuero,"1,395 cc"
VOLKSWAGEN,AMAROK,,USD,"US$ 23,900",https://cde.neoauto.pe/autos_usados/360x240/114188/114188_7469895.webp,2018,37000,Diesel,Automática - Secuencial,"Lima, Lima",Blanco,,tela,
BMW,316i,4x2,USD,"US$ 16,900",https://cde.neoauto.pe/autos_usados/360x240/114188/114188_5996051.webp,2014,54000,Gasolina,Automática - Secuencial,"Lima, Lima",Negro,4,Asientos de cuero,"1,600 cc"
KIA,CERATO,Delantera,USD,"US$ 17,199",https://cde.neoauto.pe/autos_usados/360x240/707556/707556_7616790.webp,2022,29000,Dual,Automática - Secuencial,"Lima, Lima",Gris Metálico,4,tela,"1,591 cc"
BMW,X5 35i,4x4,USD,"US$ 22,300",https://cde.neoauto.pe/autos_usados/360x240/141787/141787_3062744.webp,2012,80000,Gasolina,Automática - Secuencial,"Lima, Lima",Gris Metálico,6,Asientos de cuero,"3,000 cc"
TOYOTA,YARIS,4x2,USD,"US$ 16,900",https://cde.neoauto.pe/autos_usados/360x240/114188/114188_2384588.webp,2024,2500,Gasolina,Mecánica,"Lima, Lima",Negro,4,tela,"1,400 cc"
BMW,X6 50i,4x4,USD,"US$ 31,900",https://cde.neoauto.pe/autos_usados/360x240/114188/114188_8444253.webp,2013,74000,Gasolina,Automática - Secuencial,"Lima, Lima",,,tela,"4,400 cc"
BMW,120i,4x2,USD,"US$ 22,900",https://cde.neoauto.pe/autos_usados/360x240/114188/114188_1621594.webp,2017,27000,Gasolina,Automática - Secuencial,"Lima, Lima",Blanco,4,tela,"2,000 cc"
VOLKSWAGEN,GOL,Delantera,USD,"US$ 11,900",https://cde.neoauto.pe/autos_usados/360x240/114188/114188_7537472.webp,2020,41300,Gasolina,Automática,"Lima, Lima",Rojo,4,tela,"1,600 cc"
MERCEDES BENZ,GLC 250 4MATIC,GLC 250 4MATIC,USD,"US$ 37,900",https://cde.neoauto.pe/autos_usados/360x240/114188/114188_9642014.webp,2019,49000,Gasolina,Automática - Secuencial,"Lima, Lima",Azul,4,Asientos de cuero,"2,000 cc"
NISSAN,QASHQAI,TEKNA 4X2 2.0 CVT,USD,"US$ 10,900",https://cde.neoauto.pe/autos_usados/360x240/114188/114188_3681531.webp,2012,76000,Gasolina,Automática,"Lima, Lima",Rojo,4,tela,"2,000 cc"
FORD,ECOSPORT,4x2,USD,"US$ 15,000",https://cde.neoauto.pe/autos_usados/360x240/659560/659560_8716576.webp,2020,30000,Gasolina,Automática,"Lima, Lima",Gris platino,3,tela,"1,497 cc"
TOYOTA,HILUX,4x4,USD,"US$ 26,500",https://cde.neoauto.pe/autos_usados/360x240/739071/739071_1277803.webp,2018,150000,Diesel,Mecánica,"Lima, Lima",Blanco,4,Asientos de cuero,
BMW,428i,COUPE,USD,"US$ 24,500",https://cde.neoauto.pe/autos_usados/360x240/531201/531201_1400400.webp,2016,42000,Gasolina,Automática - Secuencial,"Lima, Lima",Gris Oscuro,4,tela,"2,000 cc"
AUDI,A4,Quattro,USD,"US$ 32,000",https://cde.neoauto.pe/autos_usados/360x240/668766/668766_4495474.webp,2022,13000,Gasolina-Híbrido,Automática - Secuencial,"Lima, Lima",Azul,4,Asientos de cuero,"2,000 cc"
TOYOTA,HILUX,4x4,USD,"US$ 24,500",https://cde.neoauto.pe/autos_usados/360x240/127589/127589_1756593.webp,2020,46000,Diesel,Mecánica,"Lima, Lima",Rojo,4,tela,4 cc
LAND ROVER,DISCOVERY 4,4x4,USD,"US$ 25,500",https://cde.neoauto.pe/autos_usados/360x240/304730/304730_2084794.webp,2013,116000,Gasolina,Automática,"Lima, Lima",Verde Petroleo,8,tela,8 cc
JEEP,WRANGLER RUBICON,4x4,USD,"US$ 32,000",https://cde.neoauto.pe/autos_usados/360x240/146576/146576_4798541.webp,2012,145000,Gasolina,Automática - Secuencial,"Lima, Lima",Negro,6,tela,"3,600 cc"
NISSAN,KICKS,4x2,USD,"US$ 17,490",https://cde.neoauto.pe/autos_usados/360x240/737700/737700_8245664.webp,2023,10900,Dual,Mecánica,"Lima, Lima",Gris huracan,4,tela,"1,600 cc"
CHERY,TIGGO 8 PRO,4x2,USD,"US$ 22,500",https://cde.neoauto.pe/autos_usados/360x240/703673/703673_9350254.webp,2023,17000,Gasolina,Automática - Secuencial,"Lima, Lima",Blanco,4,tela,"1,600 cc"
MERCEDES BENZ,A200,Posterior,USD,"US$ 12,800",https://cde.neoauto.pe/autos_usados/360x240/140578/140578_7257586.webp,2013,51000,Gasolina,Mecánica,"Lima, Lima",Gris Metálico,4,Asientos de cuero,"1,600 cc"
BMW,420I GRAN COUPE,,USD,"US$ 22,500",https://cde.neoauto.pe/autos_usados/360x240/742207/742207_6713634.webp,2016,80000,Gasolina,Automática - Secuencial,"Lima, Lima",Gris Metálico,,Asientos de cuero,"2,000 cc"
MITSUBISHI,L200,4x4,USD,"US$ 20,900",https://cde.neoauto.pe/autos_usados/360x240/579504/579504_1930403.webp,2019,48000,Diesel,Mecánica,"Lima, Lima",Blanco,,tela,"2,400 cc"
TOYOTA,LAND CRUISER PRADO,2.7 TX-L AT,USD,"US$ 24,000",https://cde.neoauto.pe/autos_usados/360x240/303440/303440_9618019.webp,2011,160000,Dual,Automática - Secuencial,"Lima, Lima",Turquesa,4,tela,"2,700 cc"
BMW,318i,IA,USD,"US$ 18,500",https://cde.neoauto.pe/autos_usados/360x240/541800/541800_4151263.webp,2017,55500,Gasolina,Automática - Secuencial,"Lima, Lima",Azul,4,Asientos de cuero,"1,600 cc"
HYUNDAI,TUCSON,GL 4WD AT,USD,"US$ 8,100",https://cde.neoauto.pe/autos_usados/360x240/717171/717171_4934229.webp,2008,97077,Gasolina,Automática,"Lima, Lima",Verde Petroleo,4,tela,
HONDA,CR-V,LX 4X4 AT,USD,"US$ 9,500",https://cde.neoauto.pe/autos_usados/360x240/728516/728516_8820100.webp,2010,159363,Gasolina,Automática,"Lima, Lima",Plata,4,tela,
BMW,320i,4x2,USD,"US$ 14,350",https://cde.neoauto.pe/autos_usados/360x240/444170/444170_9033210.webp,2013,47500,Gasolina,Automática - Secuencial,"Lima, Lima",Gris Metálico,4,Asientos de cuero,"2,000 cc"
SUZUKI,NEW VITARA,4x2,USD,"US$ 13,000",https://cde.neoauto.pe/autos_usados/360x240/741880/741880_2857470.webp,2017,67400,Gasolina,Mecánica,"Lima, Lima",Gris Metálico,4,tela,"1,586 cc"
MAZDA,CX-5,4x2,USD,"US$ 17,800",https://cde.neoauto.pe/autos_usados/360x240/691779/691779_3187443.webp,2017,43800,Gasolina,Mecánica,"Lima, Lima",Azul,,tela,"2,000 cc"
AUDI,Q5,2.0 TFSI QUATTRO,USD,"US$ 19,900",https://cde.neoauto.pe/autos_usados/360x240/436010/436010_8214072.webp,2014,76500,Gasolina,Automática - Secuencial,"Lima, Lima",Plata,4,Asientos de cuero,"2,000 cc"
SUZUKI,SWIFT,4x2,USD,"US$ 10,500",https://cde.neoauto.pe/autos_usados/360x240/155466/155466_6171132.webp,2018,39321,Gasolina,Mecánica,"Lima, Lima",Negro,,tela,"1,200 cc"
PORSCHE,MACAN GTS,,USD,Consultar,https://cde.neoauto.pe/autos_usados/360x240/662195/662195_3264621.webp,2023,7000,Gasolina,Automática - Secuencial,"Lima, Lima",Blanco,6,tela,"3,000 cc"
FORD,EXPLORER,XLT 3.5 4X4,USD,"US$ 23,500",https://cde.neoauto.pe/autos_usados/360x240/160021/160021_6886185.webp,2017,111000,Gasolina,Automática - Secuencial,"Lima, Lima",Negro,6,tela,"3,700 cc"
HYUNDAI,SANTA FE,GL 7S 2.4 2WD MT,USD,"US$ 9,000",https://cde.neoauto.pe/autos_usados/360x240/386196/386196_9365551.webp,2010,289000,Dual,Mecánica,"Santa, Ancash",Plateado,4,tela,"2,400 cc"
PORSCHE,CAYENNE S,AWD,USD,"US$ 124,900",https://cde.neoauto.pe/autos_usados/360x240/118694/118694_3338490.webp,2024,1327,Gasolina,Automática - Secuencial,"Lima, Lima",Negro,8,tela,"3,996 cc"
PORSCHE,MACAN,AWD,USD,"US$ 75,900",https://cde.neoauto.pe/autos_usados/360x240/118694/118694_9693575.webp,2024,8040,Gasolina,Automática - Secuencial,"Lima, Lima",Azul,,tela,"1,984 cc"
TOYOTA,RAV4,4x2,USD,"US$ 16,500",https://cde.neoauto.pe/autos_usados/360x240/692838/692838_7481382.webp,2014,45662,Gasolina,Automática - Secuencial,"Lima, Lima",Plata,4,tela,"2,000 cc"
JEEP,GRAND CHEROKEE LIMITED,4x4,USD,"US$ 36,990",https://cde.neoauto.pe/autos_usados/360x240/659978/659978_6813354.webp,2019,36500,Gasolina,Automática - Secuencial,"Lima, Lima",Blanco,6,Asientos de cuero,"3,600 cc"
PORSCHE,CAYENNE,AWD,USD,"US$ 39,900",https://cde.neoauto.pe/autos_usados/360x240/118694/118694_6429952.webp,2017,37400,Gasolina,Automática - Secuencial,"Lima, Lima",,,tela,"3,598 cc"
AUDI,Q8,Quattro,USD,"US$ 63,900",https://cde.neoauto.pe/autos_usados/360x240/118694/118694_4247086.webp,2019,34000,Gasolina-Híbrido,Automática - Secuencial,"Lima, Lima",Blanco,6,tela,"3,000 cc"
AUDI,A3 SEDAN,2.0 TFSI SPORT,USD,"US$ 18,900",https://cde.neoauto.pe/autos_usados/360x240/118694/118694_3109047.webp,2017,88000,Gasolina,Automática - Secuencial,"Lima, Lima",Plata,4,tela,"2,000 cc"
LAND ROVER,RANGE ROVER EVOQUE,4x4,USD,"US$ 29,900",https://cde.neoauto.pe/autos_usados/360x240/237418/237418_7903558.webp,2017,76689,Gasolina,Automática,"Lima, Lima",Gris Oscuro,4,tela,"2,000 cc"
SUBARU,IMPREZA,4x4,USD,"US$ 10,900",https://cde.neoauto.pe/autos_usados/360x240/237418/237418_8082565.webp,2014,96024,Gasolina,Automática,"Lima, Lima",Negro,4,tela,"2,000 cc"
PORSCHE,CAYENNE S,4x4,USD,"US$ 22,900",https://cde.neoauto.pe/autos_usados/360x240/237418/237418_1830493.webp,2012,104495,Gasolina,Automática,"Lima, Lima",,8,tela,"4,800 cc"
VOLKSWAGEN,JETTA GLI,4x2,USD,"US$ 15,500",https://cde.neoauto.pe/autos_usados/360x240/237418/237418_1326103.webp,2018,67447,Gasolina,Automática,"Lima, Lima",Gris Metálico,4,tela,"2,000 cc"
BMW,320i,4x2,USD,"US$ 34,900",https://cde.neoauto.pe/autos_usados/360x240/237418/237418_4078215.webp,2022,21416,Gasolina,Automática,"Lima, Lima",Negro,4,tela,"2,000 cc"
BMW,520-i,4x2,USD,"US$ 29,900",https://cde.neoauto.pe/autos_usados/360x240/237418/237418_2226789.webp,2020,42908,Gasolina,Automática,"Lima, Lima",Plata,4,tela,"2,000 cc"
AUDI,Q8,Quattro,USD,"US$ 59,900",https://cde.neoauto.pe/autos_usados/360x240/118694/118694_7343792.webp,2019,41000,Gasolina-Híbrido,Automática - Secuencial,"Lima, Lima",Azul,6,tela,"3,000 cc"
AUDI,Q5,Quattro,USD,"US$ 41,900",https://cde.neoauto.pe/autos_usados/360x240/118694/118694_3058465.webp,2020,22000,Gasolina,Automática - Secuencial,"Lima, Lima",Negro,5,tela,"2,000 cc"
AUDI,Q7,3.0 TFSI QUATTRO,USD,"US$ 24,900",https://cde.neoauto.pe/autos_usados/360x240/118694/118694_6089027.webp,2015,71000,Gasolina,Automática - Secuencial,"Lima, Lima",Blanco,6,Asientos de cuero,"3,000 cc"
AUDI,R8,5.2 FSI STRONIC QUATTRO,USD,"US$ 135,900",https://cde.neoauto.pe/autos_usados/360x240/118694/118694_8486860.webp,2017,19000,Gasolina,Automática - Secuencial,"Lima, Lima",Verde Metálico,10,Asientos de cuero,"5,200 cc"
AUDI,A3 SPORTBACK,2.0 TFSI S TRONIC SPORT,USD,"US$ 19,900",https://cde.neoauto.pe/autos_usados/360x240/118694/118694_2652827.webp,2017,56000,Gasolina,Automática - Secuencial,"Lima, Lima",Gris Metálico,5,tela,"2,000 cc"
PORSCHE,MACAN S,AWD,USD,"US$ 34,900",https://cde.neoauto.pe/autos_usados/360x240/118694/118694_3312619.webp,2017,82078,Gasolina,Automática - Secuencial,"Lima, Lima",Negro,6,Asientos de cuero,"2,997 cc"
PORSCHE,CAYENNE,AWD,USD,"US$ 49,900",https://cde.neoauto.pe/autos_usados/360x240/118694/118694_3811861.webp,2018,52845,Gasolina,Automática - Secuencial,"Lima, Lima",Blanco,6,tela,"3,598 cc"
AUDI,Q5,Quattro,USD,"US$ 56,900",https://cde.neoauto.pe/autos_usados/360x240/118694/118694_3556894.webp,2023,8000,Gasolina-Híbrido,Automática - Secuencial,"Lima, Lima",Verde,5,Asientos de cuero,"2,000 cc"
AUDI,Q5,2.0 TFSI QUATTRO ATTRACTION,USD,"US$ 29,900",https://cde.neoauto.pe/autos_usados/360x240/118694/118694_1693425.webp,2018,61000,Gasolina,Automática - Secuencial,"Lima, Lima",Azul acero,4,Asientos de cuero,"2,000 cc"
AUDI,A4,1.4 TFSI STRONIC ATTRACTION,USD,"US$ 23,900",https://cde.neoauto.pe/autos_usados/360x240/118694/118694_3069702.webp,2018,31000,Gasolina,Automática - Secuencial,"Lima, Lima",Rojo,4,Asientos de cuero,"1,400 cc"
