Brands,Models,Version,Currency,Price,Urlpic,Year,KM,Fuel_type,Transmission,Location,Color,Cilinder,Upholstery,Engine
MERCEDES BENZ,C-180,AVANTGARDE,USD,"US$ 17,500",https://cde.neoauto.pe/autos_usados/360x240/358152/358152_3597796.webp,2016,72072,Gasolina,Automática,"Lima, Lima",Plata,,Asientos de cuero,"1,600 cc"
HONDA,CR-V,4x2,USD,"US$ 29,500",https://cde.neoauto.pe/autos_usados/360x240/742977/742977_8953063.webp,2022,17981,Gasolina,Automática - Secuencial,"Lima, Lima",Plata,,tela,"1,500 cc"
RENAULT,DUSTER,EXPRESSION 1.6 MT 4X2,USD,"US$ 8,500",https://cde.neoauto.pe/autos_usados/360x240/358152/358152_7158171.webp,2014,72396,Gasolina,Mecánica,"Lima, Lima",Marrón,,tela,"1,600 cc"
VOLKSWAGEN,TIGUAN ALLSPACE,Delantera,USD,"US$ 23,500",https://cde.neoauto.pe/autos_usados/360x240/647708/647708_7319728.webp,2021,25000,Gasolina,Automática - Secuencial,"Lima, Lima",Blanco,4,Asientos de cuero,"1,400 cc"
MAZDA,CX-5,MT 2.0 2WD GS CORE IPM PE,USD,"US$ 19,500",https://cde.neoauto.pe/autos_usados/360x240/718416/718416_8381254.webp,2019,31600,Gasolina,Mecánica,"Lima, Lima",Blanco,4,tela,"2,000 cc"
NISSAN,KICKS,Advance 1.6 CVT,USD,"US$ 16,000",https://cde.neoauto.pe/autos_usados/360x240/358152/358152_6965696.webp,2018,61733,Gasolina,Automática,"Lima, Lima",Rojo,,tela,"1,600 cc"
NISSAN,QASHQAI,Exclusive 4X4 CVT 2.0 GSL,USD,"US$ 21,000",https://cde.neoauto.pe/autos_usados/360x240/358152/358152_6810619.webp,2019,55656,Gasolina,Automática,"Lima, Lima",Gris Metálico,,tela,"2,000 cc"
CHEVROLET,TRACKER,4x2,USD,"US$ 15,500",https://cde.neoauto.pe/autos_usados/360x240/358152/358152_2240449.webp,2021,38265,Gasolina,Mecánica,"Lima, Lima",Gris platino,,tela,"1,200 cc"
NISSAN,FRONTIER,4x2,USD,"US$ 20,500",https://cde.neoauto.pe/autos_usados/360x240/358152/358152_2748497.webp,2020,70331,Diesel,Mecánica,"Lima, Lima",Gris Metálico,,tela,"2,500 cc"
MITSUBISHI,OUTLANDER,4x2,USD,"US$ 17,500",https://cde.neoauto.pe/autos_usados/360x240/358152/358152_4129781.webp,2017,77823,Gasolina,Automática,"Lima, Lima",Blanco,,tela,"2,000 cc"
MAZDA,CX-3,2.0 2WD GS HIGH PE AT,USD,"US$ 15,500",https://cde.neoauto.pe/autos_usados/360x240/742996/742996_6438247.webp,2018,67000,Gasolina,Automática - Secuencial,"Santa, Ancash",Blanco,4,Asientos de cuero,"2,000 cc"
